src_ip,dst_ip,protocol,src_port,dst_port,packet_count,byte_count,duration,label
10.18.209.61,178.135.179.193,ICMP,0,0,47,6392,1.52,Spam
192.168.42.3,136.78.235.87,UDP,25181,38605,11,748,3.25,DDoS
192.168.236.173,220.142.13.201,ICMP,0,0,43,6278,1.44,RDP-Bruteforce
192.168.46.120,70.129.244.119,ICMP,0,0,30,3090,3.77,DDoS
172.17.193.247,211.0.191.250,TCP,21005,5370,10,1200,4.56,RDP-Bruteforce
10.22.86.137,163.29.205.200,UDP,50029,64506,43,4730,1.12,Spam
192.168.97.39,200.56.160.205,UDP,5344,44516,4,260,4.79,HTTP-Flood
10.27.243.14,161.154.234.25,ICMP,0,0,37,5254,4.12,HTTP-Flood
10.44.35.183,222.16.163.210,ICMP,0,0,41,3280,4.6,Benign
192.168.17.207,5.52.58.110,ICMP,0,0,49,6125,1.44,Benign
172.25.71.34,156.39.199.131,TCP,13548,48498,43,5891,0.36,RDP-Bruteforce
172.17.246.127,178.157.171.29,ICMP,0,0,14,1176,4.29,SSH-Bruteforce
10.91.69.66,130.88.42.18,UDP,50503,13796,33,3432,0.21,RDP-Bruteforce
172.20.197.19,119.60.143.92,UDP,57176,50962,14,1666,2.84,HTTP-Flood
192.168.57.81,53.15.109.67,ICMP,0,0,1,142,0.32,HTTP-Flood
10.99.9.156,207.228.180.87,TCP,30059,43977,32,2400,0.2,HTTP-Flood
192.168.82.9,121.247.71.143,TCP,42227,33195,48,5328,0.81,SSH-Bruteforce
172.21.163.153,105.106.145.237,UDP,45324,60109,18,1350,4.87,PortScan
172.30.97.95,92.41.115.126,ICMP,0,0,37,3256,2.26,Benign
172.31.162.196,132.192.69.140,UDP,17207,60526,41,3198,1.92,Spam
10.184.84.184,159.106.202.227,UDP,41563,2863,18,2196,0.42,DDoS
172.28.84.132,218.14.70.27,ICMP,0,0,23,1771,1.01,SSH-Bruteforce
172.30.87.69,208.143.111.85,TCP,15261,41199,5,440,0.33,Benign
10.81.65.238,103.84.142.173,UDP,51328,47120,19,1900,4.84,HTTP-Flood
192.168.20.161,144.122.87.194,TCP,38669,44206,10,620,0.87,DDoS
192.168.219.157,197.37.43.120,UDP,21698,27161,7,511,4.87,RDP-Bruteforce
172.17.119.147,143.100.177.219,ICMP,0,0,50,3300,4.58,DDoS
172.20.40.53,50.29.85.187,UDP,11472,27525,23,2898,2.29,HTTP-Flood
192.168.42.149,212.222.209.178,UDP,56913,36180,2,120,3.53,HTTP-Flood
172.31.145.19,51.127.185.67,UDP,17544,37669,35,4025,2.33,DDoS
172.24.18.188,129.199.218.233,UDP,46255,29828,25,2450,4.96,DDoS
192.168.79.194,204.10.117.175,ICMP,0,0,19,2014,4.9,RDP-Bruteforce
172.17.189.5,42.96.3.29,TCP,43126,2809,31,3317,0.66,PortScan
10.123.70.41,220.6.244.178,TCP,59874,49088,31,3162,4.01,Spam
192.168.152.12,119.181.217.26,TCP,15589,50243,30,4110,4.82,SSH-Bruteforce
10.38.28.75,128.194.208.132,ICMP,0,0,40,4720,1.09,PortScan
172.28.162.140,207.240.109.155,UDP,22994,47002,15,1920,2.81,RDP-Bruteforce
172.18.104.2,198.217.14.53,TCP,39838,22415,18,2376,3.72,Benign
192.168.74.226,13.178.102.84,UDP,8204,1843,8,976,3.12,HTTP-Flood
192.168.207.206,50.82.65.73,TCP,42427,21210,12,732,0.62,DDoS
192.168.15.119,193.158.229.197,UDP,25699,57924,34,2822,0.69,RDP-Bruteforce
10.144.122.141,91.230.81.166,UDP,11511,53858,19,2603,2.19,SSH-Bruteforce
10.167.48.156,51.221.45.129,TCP,60251,54199,22,3212,1.22,SSH-Bruteforce
10.167.159.230,168.167.161.56,TCP,21662,11212,46,4048,0.62,HTTP-Flood
172.24.114.138,195.214.129.6,TCP,54221,23305,35,2695,2.05,HTTP-Flood
10.144.145.164,204.78.51.24,UDP,45001,23455,29,3944,1.42,Benign
10.217.25.172,109.114.251.119,UDP,25928,46585,11,847,0.78,HTTP-Flood
10.249.86.140,204.203.121.55,UDP,18644,11451,22,2200,0.2,DDoS
10.222.80.180,189.161.178.104,TCP,65504,42584,29,1740,0.06,DDoS
10.167.22.77,112.84.227.72,ICMP,0,0,38,2318,4.69,Spam
172.22.46.163,92.70.198.213,ICMP,0,0,10,820,2.42,RDP-Bruteforce
172.26.118.57,160.212.127.254,ICMP,0,0,23,2139,4.99,SSH-Bruteforce
10.219.96.237,86.123.127.110,UDP,6658,8850,9,1350,4.81,Benign
192.168.70.38,81.44.157.78,ICMP,0,0,46,3864,2.3,SSH-Bruteforce
172.24.255.58,191.126.111.204,TCP,58209,23170,22,2530,4.65,Spam
192.168.85.30,192.232.209.175,ICMP,0,0,21,1995,3.77,SSH-Bruteforce
172.30.139.196,167.9.49.67,UDP,23033,55402,38,4408,0.71,DDoS
172.17.136.93,149.90.13.73,UDP,51077,49230,8,816,0.38,PortScan
10.176.23.125,217.160.205.11,ICMP,0,0,39,5577,4.04,SSH-Bruteforce
10.196.190.173,40.207.103.137,ICMP,0,0,21,1827,3.41,HTTP-Flood
10.92.176.41,157.203.190.135,ICMP,0,0,47,5734,3.99,RDP-Bruteforce
10.35.200.163,145.102.122.74,TCP,35198,64669,33,3861,0.27,Benign
172.28.20.77,152.32.249.148,TCP,52064,10396,21,2667,2.76,HTTP-Flood
192.168.48.196,163.53.184.148,ICMP,0,0,40,3920,3.2,RDP-Bruteforce
172.30.203.116,194.68.1.255,TCP,4269,42526,5,680,0.27,SSH-Bruteforce
10.107.31.228,113.85.81.95,UDP,36682,27277,21,1365,4.76,Benign
192.168.224.139,102.7.190.227,ICMP,0,0,23,2001,1.76,RDP-Bruteforce
172.20.76.170,131.65.91.24,TCP,41074,28045,44,3608,3.57,Spam
10.34.174.75,189.47.86.115,TCP,48716,32274,18,2196,2.12,Benign
172.24.108.9,222.23.81.151,UDP,39700,30995,2,146,0.11,DDoS
172.31.79.171,50.217.209.103,UDP,20369,10314,48,6720,0.07,SSH-Bruteforce
10.194.200.148,133.26.205.194,TCP,7529,48399,42,4746,3.53,Spam
172.29.181.217,103.208.164.51,TCP,3670,37424,49,5978,1.24,SSH-Bruteforce
192.168.228.225,131.147.81.46,TCP,50516,7314,46,4692,1.66,Benign
172.25.58.12,72.220.186.51,UDP,4349,9820,8,592,4.56,SSH-Bruteforce
172.25.47.242,209.231.70.38,TCP,30955,51441,18,1188,4.47,HTTP-Flood
172.25.175.145,13.92.170.140,UDP,37724,62203,39,2652,4.27,SSH-Bruteforce
192.168.18.118,26.169.230.252,TCP,25379,27218,29,1914,0.22,HTTP-Flood
172.19.134.209,136.222.234.33,ICMP,0,0,21,2835,2.07,DDoS
192.168.185.250,198.150.51.64,UDP,9623,46355,24,3408,4.06,DDoS
192.168.118.118,89.145.148.24,TCP,4687,20548,32,2432,3.47,Spam
192.168.151.139,74.59.193.117,TCP,44568,48376,37,4403,0.85,DDoS
192.168.63.52,108.225.135.231,UDP,43382,53595,11,1573,3.16,SSH-Bruteforce
10.185.180.119,148.173.37.70,UDP,36166,60895,16,992,2.41,Spam
172.17.55.133,7.85.191.3,TCP,56262,56506,14,966,2.64,DDoS
172.31.76.250,219.160.136.117,TCP,50586,61014,17,1853,4.7,Benign
10.227.206.11,192.158.17.58,ICMP,0,0,9,1044,1.03,Benign
10.12.0.166,101.204.70.126,UDP,39856,47511,3,402,3.36,HTTP-Flood
10.231.216.220,189.14.232.195,ICMP,0,0,18,1242,2.18,HTTP-Flood
10.204.194.36,122.209.165.127,ICMP,0,0,46,4922,3.45,Benign
172.30.216.116,210.171.41.187,ICMP,0,0,50,4900,4.63,DDoS
172.24.228.223,110.129.154.197,TCP,1635,57506,28,3472,0.98,PortScan
172.17.40.92,197.247.196.88,TCP,40976,26200,43,3053,1.47,RDP-Bruteforce
10.11.196.3,218.28.251.60,UDP,9333,41014,12,1644,0.9,RDP-Bruteforce
172.25.176.179,207.96.151.41,TCP,5248,44452,47,5687,4.31,RDP-Bruteforce
172.23.18.47,119.27.60.233,ICMP,0,0,19,1425,4.03,HTTP-Flood
10.235.180.18,160.169.113.106,TCP,18178,43450,41,5330,4.57,PortScan
172.26.172.193,155.66.220.253,UDP,51231,62679,28,2968,1.96,SSH-Bruteforce
172.24.12.240,56.150.138.200,ICMP,0,0,36,3600,1.32,HTTP-Flood
10.79.34.180,110.20.184.24,ICMP,0,0,46,4738,0.49,DDoS
172.17.101.115,118.143.50.36,TCP,56844,14978,25,1575,1.76,SSH-Bruteforce
172.20.83.8,216.173.152.146,TCP,60341,57958,29,4205,2.96,RDP-Bruteforce
10.230.81.86,192.85.249.66,UDP,17130,5090,11,1595,0.35,SSH-Bruteforce
172.30.84.2,197.101.230.35,UDP,25179,8935,25,2800,0.4,Benign
172.23.233.138,208.106.238.78,UDP,31409,49977,33,3102,0.75,DDoS
192.168.195.45,188.111.176.140,TCP,48294,39041,6,720,2.54,Spam
192.168.249.12,204.83.147.254,ICMP,0,0,36,3996,2.72,Benign
172.21.140.47,219.5.67.35,ICMP,0,0,40,5040,3.54,PortScan
192.168.106.64,58.17.41.93,TCP,4443,13540,12,1668,1.77,HTTP-Flood
172.30.39.30,176.65.186.144,TCP,51191,50880,26,3796,4.06,PortScan
10.247.73.9,151.26.28.153,TCP,42364,37616,9,819,1.56,DDoS
172.27.91.127,113.61.32.68,ICMP,0,0,31,4526,0.34,DDoS
10.59.28.140,12.179.149.216,UDP,47406,38752,33,3861,2.13,SSH-Bruteforce
172.27.37.227,209.113.67.42,ICMP,0,0,7,560,4.34,HTTP-Flood
10.218.46.29,211.87.183.170,TCP,48941,5058,16,1488,4.55,SSH-Bruteforce
10.33.188.193,133.183.95.5,UDP,63153,51860,11,847,1.14,PortScan
192.168.241.122,158.230.140.225,ICMP,0,0,1,150,3.21,HTTP-Flood
172.22.159.255,220.87.7.76,UDP,49973,7910,46,2944,2.18,PortScan
